DATE,DATE & TIME,SIDE,SYMBOL,QTY,PRICE,REALIZED P&L
1/2/1991,1991-01-02-10.30.15.000000,SELL,OVY,342.0,45.81,0.0
1/2/1991,1991-01-02-10.30.40.000000,BUY,FCL,106.0,145.24,0.0
1/7/1991,1991-01-07-11.08.27.000000,BUY,PPHE,500.0,6.27,0.0
1/7/1991,1991-01-07-11.13.10.000000,BUY,CGTV,5706.0,10.2,0.0
1/7/1991,1991-01-07-11.13.10.000000,BUY,CGTV,4294.0,10.2,0.0
1/7/1991,1991-01-07-14.40.59.000000,BUY,PPHE,500.0,6.28,0.0
1/8/1991,1991-01-08-11.43.17.000000,BUY,ERTA,2.0,172.97,0.0
1/8/1991,1991-01-08-14.57.19.000000,BUY,PFGE,400.0,48.76,0.0
1/9/1991,1991-01-09-13.05.12.000000,BUY,PPHE,500.0,6.08,0.0
1/9/1991,1991-01-09-13.47.03.000000,BUY,PPHE,500.0,6.08,0.0
1/9/1991,1991-01-09-14.49.43.000000,BUY,CGTV,14.0,10.43,0.0
1/9/1991,1991-01-09-14.49.43.000000,BUY,CGTV,986.0,10.46,0.0
1/10/1991,1991-01-10-09.48.16.000000,BUY,QYVND,10000.0,1.07,0.0
1/10/1991,1991-01-10-09.59.07.000000,BUY,PPHE,500.0,6.12,0.0
1/10/1991,1991-01-10-09.59.47.000000,BUY,PPHE,250.0,6.15,0.0
1/10/1991,1991-01-10-10.07.55.000000,BUY,CGTV,1000.0,10.43,0.0
1/10/1991,1991-01-10-10.23.42.000000,BUY,ZVSV,10000.0,1.43,0.0
1/10/1991,1991-01-10-10.31.18.000000,BUY,ZVSV,10000.0,1.43,0.0
1/10/1991,1991-01-10-12.13.24.000000,BUY,PPHE,250.0,6.0,0.0
1/10/1991,1991-01-10-13.22.58.000000,BUY,YZBF,1000.0,9.45,0.0
1/10/1991,1991-01-10-14.14.01.000000,BUY,YZBF,100.0,9.36,0.0
1/11/1991,1991-01-11-09.36.36.000000,BUY,QYVND,5000.0,1.01,0.0
1/11/1991,1991-01-11-09.37.53.000000,SELL,NUP,2500.0,5.25,0.0
1/11/1991,1991-01-11-09.39.20.000000,BUY,PPHE,2000.0,5.99,0.0
1/11/1991,1991-01-11-09.52.30.000000,BUY,PPHE,2000.0,5.95,0.0
1/11/1991,1991-01-11-11.07.15.000000,BUY,PPHE,2000.0,5.86,0.0
1/11/1991,1991-01-11-15.04.23.000000,BUY,PPHE,1000.0,5.95,0.0
1/11/1991,1991-01-11-15.11.10.000000,BUY,PPHE,500.0,5.95,0.0
1/11/1991,1991-01-11-15.12.41.000000,BUY,PPHE,500.0,5.92,0.0
1/11/1991,1991-01-11-15.13.16.000000,BUY,PPHE,250.0,5.97,0.0
1/11/1991,1991-01-11-15.13.44.000000,BUY,PPHE,250.0,5.99,0.0
1/11/1991,1991-01-11-15.36.24.000000,BUY,PPHE,500.0,6.07,0.0
1/14/1991,1991-01-14-10.20.00.000000,SELL,DDD,294.0,66.76,0.0
1/14/1991,1991-01-14-10.22.30.000000,BUY,FCL,133.0,146.56,0.0
1/14/1991,1991-01-14-10.24.46.000000,BUY,OVY,3.0,45.81,0.0000
1/14/1991,1991-01-14-10.48.34.000000,BUY,YZBF,900.0,9.5,0.0
1/14/1991,1991-01-14-12.43.35.000000,BUY,PPHE,800.0,6.0,0.0
1/14/1991,1991-01-14-13.14.44.000000,BUY,PPHE,1000.0,6.12,0.0
1/14/1991,1991-01-14-15.57.38.000000,BUY,ZEIP,500.0,9.21,0.0
1/15/1991,1991-01-15-09.45.11.000000,SELL,NUP,2500.0,5.15,0.0
1/15/1991,1991-01-15-09.57.07.000000,BUY,ZEIP,500.0,9.0,0.0
1/15/1991,1991-01-15-10.26.41.000000,BUY,YZBF,5000.0,9.04,0.0
1/15/1991,1991-01-15-11.15.18.000000,BUY,ZEIP,500.0,9.14,0.0
1/15/1991,1991-01-15-11.16.46.000000,BUY,ZEIP,500.0,9.18,0.0
1/15/1991,1991-01-15-11.18.36.000000,BUY,ZEIP,500.0,9.2,0.0
1/15/1991,1991-01-15-11.24.06.000000,SELL,NUP,1000.0,5.24,0.0
1/15/1991,1991-01-15-14.08.51.000000,BUY,YZBF,3063.0,9.0,0.0
1/15/1991,1991-01-15-14.26.08.000000,BUY,CGTV,5000.0,10.31,0.0
1/15/1991,1991-01-15-15.41.51.000000,BUY,YZBF,4083.0,9.05,0.0
1/16/1991,1991-01-16-09.28.20.000000,BUY,YZBF,1937.0,9.05,0.0
1/16/1991,1991-01-16-09.50.17.000000,BUY,PPHE,1500.0,6.0,0.0
1/16/1991,1991-01-16-10.58.02.000000,BUY,PPHE,200.0,5.99,0.0
1/16/1991,1991-01-16-10.58.02.000000,BUY,PPHE,2800.0,6.0,0.0
1/16/1991,1991-01-16-11.26.05.000000,BUY,PPHE,2000.0,6.0,0.0
1/16/1991,1991-01-16-11.27.19.000000,BUY,PPHE,2000.0,6.0,0.0
1/16/1991,1991-01-16-11.34.10.000000,BUY,ZEIP,500.0,9.2,0.0
1/16/1991,1991-01-16-11.59.33.000000,BUY,PPHE,1000.0,6.01,0.0
