DATE,DATE & TIME,SIDE,SYMBOL,QTY,PRICE,REALIZED P&L
1/2/1991,1991-01-02-10.30.15.000000,SELL,OVY,342 ,45.81,
1/2/1991,1991-01-02-10.30.40.000000,BUY,FCL,106 ,145.24,
1/7/1991,1991-01-07-11.08.27.000000,BUY,PPHE,500 ,6.27,
1/7/1991,1991-01-07-11.13.10.000000,BUY,CGTV,5706 ,10.20,
1/7/1991,1991-01-07-11.13.10.000000,BUY,CGTV,4294 ,10.20,
1/7/1991,1991-01-07-14.40.59.000000,BUY,PPHE,500 ,6.28,
1/8/1991,1991-01-08-11.43.17.000000,BUY,ERTA,2 ,172.97,
1/8/1991,1991-01-08-14.57.19.000000,BUY,PFGE,400 ,48.76,
1/9/1991,1991-01-09-13.05.12.000000,BUY,PPHE,500 ,6.08,
1/9/1991,1991-01-09-13.47.03.000000,BUY,PPHE,500 ,6.08,
1/9/1991,1991-01-09-14.49.43.000000,BUY,CGTV,14 ,10.43,
1/9/1991,1991-01-09-14.49.43.000000,BUY,CGTV,986 ,10.46,
1/10/1991,1991-01-10-09.48.16.000000,BUY,QYVND,10000 ,1.07,
1/10/1991,1991-01-10-09.59.07.000000,BUY,PPHE,500 ,6.12,
1/10/1991,1991-01-10-09.59.47.000000,BUY,PPHE,250 ,6.15,
1/10/1991,1991-01-10-10.07.55.000000,BUY,CGTV,1000 ,10.43,
1/10/1991,1991-01-10-10.23.42.000000,BUY,ZVSV,10000 ,1.43,
1/10/1991,1991-01-10-10.31.18.000000,BUY,ZVSV,10000 ,1.43,
1/10/1991,1991-01-10-12.13.24.000000,BUY,PPHE,250 ,6.00,
1/10/1991,1991-01-10-13.22.58.000000,BUY,YZBF,1000 ,9.45,
1/10/1991,1991-01-10-14.14.01.000000,BUY,YZBF,100 ,9.36,
1/11/1991,1991-01-11-09.36.36.000000,BUY,QYVND,5000 ,1.01,
1/11/1991,1991-01-11-09.37.53.000000,SELL,NUP,2500 ,5.25,
1/11/1991,1991-01-11-09.39.20.000000,BUY,PPHE,2000 ,5.99,
1/11/1991,1991-01-11-09.52.30.000000,BUY,PPHE,2000 ,5.95,
1/11/1991,1991-01-11-11.07.15.000000,BUY,PPHE,2000 ,5.86,
1/11/1991,1991-01-11-15.04.23.000000,BUY,PPHE,1000 ,5.95,
1/11/1991,1991-01-11-15.11.10.000000,BUY,PPHE,500 ,5.95,
1/11/1991,1991-01-11-15.12.41.000000,BUY,PPHE,500 ,5.92,
1/11/1991,1991-01-11-15.13.16.000000,BUY,PPHE,250 ,5.97,
1/11/1991,1991-01-11-15.13.44.000000,BUY,PPHE,250 ,5.99,
1/11/1991,1991-01-11-15.36.24.000000,BUY,PPHE,500 ,6.07,
1/14/1991,1991-01-14-10.20.00.000000,SELL,DDD,294 ,66.76,
1/14/1991,1991-01-14-10.22.30.000000,BUY,FCL,133 ,146.56,
1/14/1991,1991-01-14-10.24.46.000000,BUY,OVY,3 ,45.81,
1/14/1991,1991-01-14-10.48.34.000000,BUY,YZBF,900 ,9.50,
1/14/1991,1991-01-14-12.43.35.000000,BUY,PPHE,800 ,6.00,
1/14/1991,1991-01-14-13.14.44.000000,BUY,PPHE,1000 ,6.12,
1/14/1991,1991-01-14-15.57.38.000000,BUY,ZEIP,500 ,9.21,
1/15/1991,1991-01-15-09.45.11.000000,SELL,NUP,2500 ,5.15,
1/15/1991,1991-01-15-09.57.07.000000,BUY,ZEIP,500 ,9.00,
1/15/1991,1991-01-15-10.26.41.000000,BUY,YZBF,5000 ,9.04,
1/15/1991,1991-01-15-11.15.18.000000,BUY,ZEIP,500 ,9.14,
1/15/1991,1991-01-15-11.16.46.000000,BUY,ZEIP,500 ,9.18,
1/15/1991,1991-01-15-11.18.36.000000,BUY,ZEIP,500 ,9.20,
1/15/1991,1991-01-15-11.24.06.000000,SELL,NUP,1000 ,5.24,
1/15/1991,1991-01-15-14.08.51.000000,BUY,YZBF,3063 ,9.00,
1/15/1991,1991-01-15-14.26.08.000000,BUY,CGTV,5000 ,10.31,
1/15/1991,1991-01-15-15.41.51.000000,BUY,YZBF,4083 ,9.05,
1/16/1991,1991-01-16-09.28.20.000000,BUY,YZBF,1937 ,9.05,
1/16/1991,1991-01-16-09.50.17.000000,BUY,PPHE,1500 ,6.00,
1/16/1991,1991-01-16-10.58.02.000000,BUY,PPHE,200 ,5.99,
1/16/1991,1991-01-16-10.58.02.000000,BUY,PPHE,2800 ,6.00,
1/16/1991,1991-01-16-11.26.05.000000,BUY,PPHE,2000 ,6.00,
1/16/1991,1991-01-16-11.27.19.000000,BUY,PPHE,2000 ,6.00,
1/16/1991,1991-01-16-11.34.10.000000,BUY,ZEIP,500 ,9.20,
1/16/1991,1991-01-16-11.59.33.000000,BUY,PPHE,1000 ,6.01,
1/16/1991,1991-01-16-12.28.54.000000,BUY,PPHE,1000 ,6.05,
1/16/1991,1991-01-16-14.19.25.000000,BUY,PVR,3000 ,25.04,
1/16/1991,1991-01-16-15.47.49.000000,SELL,VDAG,5000 ,3.12,
1/16/1991,1991-01-16-15.51.32.000000,SELL,VDAG,4507 ,3.16,
1/16/1991,1991-01-16-15.52.35.000000,SELL,VDAG,5000 ,3.15,
1/16/1991,1991-01-16-15.55.52.000000,SELL,VDAG,5000 ,3.15,
